comp_id,ds_seq_id,ds_sub_id
B1044.101,1,1
B1044.101,2,1
B1044.101,3,1
B1044.101.2,1,1
B1044.101.2,2,1
B1044.101.2,3,1
B1044.101.2b,1,1
B1044.101.2b,2,1
B1044.101.2b,3,1
B1044.101b,1,1
B1044.101b,2,1
B1044.101b,3,1
B1049.012,1,1
B1049.012,2,1
B2022.201_ud,1,1
B2022.201_ud,2,1
B2022.201_ud,3,1
B2022.201_ud.2,1,1
B2022.201_ud.2,2,1
B2022.201_ud.2,3,1
C1011.001a,1,1
C1011.001a,2,1
C1011.001a,3,1
C1011.001a.2,1,1
C1011.001a.2,2,1
C1011.001a.2,3,1
C2011.001a,1,1
C2011.001a,2,1
C2011.001a,3,1
C2011.001a.2,1,1
C2011.001a.2,2,1
C2011.001a.2,3,1
C3011.001a,1,1
C3011.001a.2,1,1
C3032.003a,1,1
C3032.003a,2,1
C3032.003a,3,1
D1014.011,1,1
D1014.011,1,2
D1014.011,1,3
D1014.011,1,4
D2021.023a,1,1
D2021.023a,2,1
D2021.023b,1,1
D2021.023b,2,1
D2022.013a,1,1
D2022.013a,2,1
D2022.013b,1,1
D2022.023a,1,1
D2022.023a,2,1
D2022.023b,1,1
D2022.023b,2,1
D2031.023a,1,1
D2031.023b,1,1
D3031.013f,1,1
D3031.013f,1,2
D3031.013f,1,3
D3031.023i,1,1
D3031.023i,1,2
D3031.023i,1,3
D3041.001c,1,1
D3041.001c,2,1
D3041.011c,1,1
D3041.011c,2,1
D3041.032c,1,1
D3041.041b,1,1
D3052.013i,1,1
D3052.013i,1,2
D3052.013i,1,3
D3052.013i,1,4
D4011.023a,1,1
D4011.023a,2,1
D4011.023ab,1,1
D4011.023ab,2,1
D4011.053a,1,1
D4011.053a,2,1
D4011.053ab,1,1
D4011.053ab,2,1
D5012.023b,1,1
