-,repair_cost-,repair_time-parallel,repair_time-sequential
0,643019.0905447227,221.03839058816314,484.7052480184296
1,749363.4256975456,229.93449536381115,565.205426580574
2,3267735.527051929,904.5949762423038,2427.673110309909
3,641820.2129850062,224.65495788668795,491.959142753194
4,1666823.3926611806,586.6679218951085,1213.182783056886
5,1525736.8615387422,416.6848466825571,1075.257099521498
6,1563033.5878189225,491.8921494499328,1097.3091279847956
7,552494.2433811942,190.14167740658556,424.34164593270515
8,375062.9988231232,146.78692890359955,317.94827921731826
9,21600000.0,12500.0,12500.0
10,1929556.5899998439,462.9847371662912,1351.6393306689608
11,2472764.827266395,658.7149981001096,1799.3040295038145
12,1154959.072653668,295.10848086914507,795.7794416200517
13,2449360.236892658,697.602124615223,1767.6584994886384
14,1345446.4025490782,404.18279615705535,959.5079733352269
15,399950.37073679373,155.3400116238286,342.914126450006
16,2839282.978734867,804.8017753525951,2098.4371958845713
17,21600000.0,12500.0,12500.0
18,2748184.643134546,714.4883612803071,2003.3267943769843
19,1322513.3931665227,379.74243669558547,925.8394499871608
20,1271758.78500838,341.9262966186965,900.7401692413407
21,264891.23170066933,91.32324603264476,218.63821339108074
22,926378.7613218022,250.13837372499964,651.8048847755222
23,2240144.169451328,614.3427073431232,1605.212153239941
24,1450716.7267270458,465.4900110551776,1049.3708165682863
25,21600000.0,12500.0,12500.0
26,269885.7602997212,106.84758816842398,233.8961410322818
27,21600000.0,12500.0,12500.0
28,2192576.801932472,596.9109435682471,1561.6512739494515
29,576234.1635264042,223.44637522405117,430.19243412688263
30,1441006.3101398877,452.823913184784,1016.0742801677903
31,21600000.0,12500.0,12500.0
32,969519.5663881861,286.8669774055199,689.8665827049675
33,21600000.0,12500.0,12500.0
34,586422.8965888835,215.20645210549142,457.0318909030687
35,21600000.0,12500.0,12500.0
36,21600000.0,12500.0,12500.0
37,2693680.096397801,733.9420650285505,1973.9651158419642
38,312169.472372086,94.95482785826772,255.85138876614667
39,2322965.534747471,630.5175194066304,1660.0908309306278
40,1313650.8250894009,346.9319331061163,915.1716335289402
41,1227082.9562769926,336.1232930367682,865.8187935058589
42,3311693.3329017907,885.5517301976436,2471.488900232662
43,1403006.2006535365,435.0393478697435,1005.1732755327868
44,1518842.5063127836,444.4887002919762,1053.8880546075854
45,21600000.0,12500.0,12500.0
46,2457378.144458134,679.8705572420802,1785.3847035485965
47,854677.9355749126,287.68497660900573,667.5997672077464
48,453341.72168559034,153.3732097214923,352.6764621817475
49,529807.2906005937,185.42190400601916,398.0437366245608
50,1726276.7780844779,555.6658432538004,1240.5165718511457
51,21600000.0,12500.0,12500.0
52,274557.7285013139,87.67354185182535,228.04966622496093
53,21600000.0,12500.0,12500.0
54,856641.9884642866,278.6257656031233,639.9794901903741
55,2298756.482484078,629.0501977186843,1669.9322661254664
56,2178884.633834346,658.6639372222015,1545.1898743499369
57,1199898.3246263969,318.1941807390695,822.5088258813337
58,2991888.5385007467,760.5146971478665,2219.9511762700004
59,417573.1187844403,147.65134574825268,327.37265918250137
60,21600000.0,12500.0,12500.0
61,333766.3472243622,115.60482258895384,256.7321561755359
62,1817596.4004280267,487.92250807436665,1285.2235801057102
63,2658768.253950819,697.1061251020178,1930.9300190665583
64,21600000.0,12500.0,12500.0
65,1632821.6116515521,459.8843274937824,1193.3214341236521
66,1125926.4934160793,306.961427587167,828.4986405121164
67,1346739.6629346765,400.0674704425246,969.0478307607863
68,21600000.0,12500.0,12500.0
69,21600000.0,12500.0,12500.0
70,21600000.0,12500.0,12500.0
71,1371922.9172374029,456.5973157106005,964.284238846072
72,21600000.0,12500.0,12500.0
73,1911173.9511430757,539.1997086614847,1324.0120715962441
74,2578333.0668001845,717.3259027685349,1882.7477391722996
75,842549.8537918803,278.14027630166714,625.4790223475982
76,21600000.0,12500.0,12500.0
77,21600000.0,12500.0,12500.0
78,1938339.2299590402,546.8312226881197,1404.211507075178
79,221212.18820975447,89.22163733894398,183.8603901074331
80,21600000.0,12500.0,12500.0
81,1424173.4671842204,339.7515852416795,995.7086554679945
82,3538050.78729129,881.9122687689523,2667.8702275825685
83,2234960.963789755,555.0955658249152,1601.1448890787954
84,974810.3953468985,373.09647761801426,731.7905169372707
85,337841.51323419693,108.16897522568283,269.2162173424083
86,21600000.0,12500.0,12500.0
87,283006.15253805625,113.71204816972798,240.73766716090796
88,1468358.534030482,515.3883667142363,1062.8606863317607
89,21600000.0,12500.0,12500.0
90,1787574.444491535,530.7406410482752,1263.1791994284833
91,21600000.0,12500.0,12500.0
92,663046.9385204053,237.0003237016931,529.4860958489976
93,1865904.3708529568,470.157751623296,1310.2996858980637
94,21600000.0,12500.0,12500.0
95,21600000.0,12500.0,12500.0
96,217027.87452232567,85.13735039964146,190.27938903918616
97,21600000.0,12500.0,12500.0
98,370321.50701963407,139.99341458359504,312.48615738005435
99,2584640.9203379075,699.7281144578347,1872.971747866256
100,2061338.859734687,532.014863559808,1443.6128835751156
101,21600000.0,12500.0,12500.0
102,21600000.0,12500.0,12500.0
103,21600000.0,12500.0,12500.0
104,2561902.2212689575,796.9850568518484,1860.7288765519365
105,2143660.143716197,525.2051555922463,1522.2216394614002
106,1193278.7795415383,323.2325470127319,839.2779140165787
107,1450848.3041807956,398.699503544292,1012.100124565907
108,1451577.0060620862,456.83248221902437,1021.5486691936612
109,844303.5109356438,272.24368368831773,600.126861321564
110,600680.5183915794,265.14130943996594,466.89834097462153
111,1618342.6992781765,492.97421963072446,1170.6467432587299
112,21600000.0,12500.0,12500.0
113,1934546.2630107396,667.7515669191114,1395.7070510524109
114,21600000.0,12500.0,12500.0
115,730782.2075320232,217.31909183760956,548.2530076964013
116,604764.3711122127,224.79305064994236,470.3030587975139
117,1059363.3300654036,347.20799895118654,734.1891358469376
118,3558908.0747957164,978.5106902181175,2694.8640812003996
119,21600000.0,12500.0,12500.0
120,898381.1739304481,327.39759050690753,656.7972982745025
121,21600000.0,12500.0,12500.0
122,1736099.0921742765,472.9092543252366,1237.0831137244522
123,3244143.7042822717,882.7467431432935,2417.5807593617765
124,706865.3052920012,251.1228859879968,533.5015761882148
