#Num,B1044.101,B1044.101.2,B1044.101.2b,B1044.101b,B1049.012,B2022.201_ud,B2022.201_ud.2,C1011.001a,C1011.001a.2,C2011.001a,C2011.001a.2,C3011.001a,C3011.001a.2,C3032.003a,D1014.011,D1014.011_ridr,D2021.023a,D2021.023b,D2022.013a,D2022.013b,D2022.023a,D2022.023b,D2031.023a,D2031.023b,D3031.013f,D3031.023i,D3041.001c,D3041.011c,D3041.032c,D3041.041b,D3052.013i,D4011.023a,D4011.023ab,D4011.053a,D4011.053ab,D5012.023b
0,0.0,0.0,0.0,0.0,495111.9470666867,103880.5387461542,26153.72428544333,145712.1267834569,84846.09472712436,10763.136961775817,0.0,48530.90310765639,42442.75560211374,0.0,135654.04369877197,0.0,0.0,88.09456038247193,8205.65994471428,726.7221755044246,22.363247931382233,39.168137459608026,0.0,1715.8517072323627,0.0,0.0,0.0,0.0,5504.344057287985,2198.8901624861737,0.0,162.7145926318067,4378.221493851124,0.0,3042.0033324769743,0.0
1,0.0,0.0,0.0,0.0,946300.0508234868,20575.331329010154,0.0,123164.47999376652,163525.33673150788,0.0,0.0,51521.320711184926,45955.22713674994,0.0,72150.80493917805,61808.22214466281,0.0,0.0,1476.9090616647068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1690.068373842758,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,498715.8896789685,25135.917480580094,54999.20016569663,89905.93265779222,61506.07496122392,0.0,0.0,49434.55743697546,43211.686126932655,0.0,0.0,276035.43627600913,25.318669485005724,0.0,18234.29870370979,0.0,26.36571087414085,0.0,0.0,765.3637990351887,163487.92379677,127048.37579543702,522.2587852403565,641.0536019242458,35878.235204756726,3265.456307651431,130143.30930234664,442.51938710326226,14990.231664091403,6636.071665295143,5407.284461486941,0.0
3,0.0,0.0,0.0,0.0,243371.99102099845,56982.5128100205,45370.97991579488,107791.52770331796,92636.92445705223,0.0,0.0,46534.990066141734,44266.91704098035,0.0,0.0,91650.94770640053,0.0,0.0,1854.1478132437915,0.0,20.370175821516924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4050.4781897857038,1853.214426363707,0.0,0.0,0.0,0.0,0.0,10016.844739192089
4,0.0,0.0,0.0,0.0,495104.01768483635,42728.35349647403,0.0,76993.81897973633,51164.571953036255,0.0,0.0,44794.72375568824,45019.409000976964,0.0,147362.39493611758,310436.85151999,0.0,0.0,10984.951654500084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13361.30489715205,4156.175829861576,0.0,0.0,0.0,1562.7074739567172,0.0,0.0
5,0.0,0.0,18402.1208592216,0.0,1057051.3576251767,22846.967207315385,20816.44236300199,208764.47143927572,181245.78342319466,0.0,0.0,52427.84260883095,47538.565693240445,0.0,67114.15029056728,0.0,0.0,0.0,410.35464403657545,0.0,0.0,21.242292460505123,0.0,0.0,0.0,185685.86504786377,0.0,0.0,6768.3035575789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,771369.558329906,47237.61330567178,30612.763236828494,164953.62615584198,112382.2861624478,0.0,0.0,44434.48413098283,40630.44126141052,0.0,0.0,117541.99277898546,0.0,152.49031614745442,8673.648221730162,0.0,171.3453564792004,95.02039216894386,0.0,3419.381134098498,0.0,124720.12799100866,6522.243710482815,0.0,24487.93898860679,9064.055107268916,0.0,1357.7954051429274,2338.798589464726,5439.6404085110535,6346.410750673989,0.0
7,0.0,0.0,0.0,0.0,578770.107314817,0.0,29599.3501054075,129708.00756093321,56399.92087210745,0.0,0.0,50662.81010453626,45348.56571898537,0.0,0.0,0.0,0.0,0.0,1195.2338991237034,591.0717669238034,0.0,0.0,0.0,577.7474057455553,0.0,0.0,6968.421884495725,0.0,10945.642663863428,2827.0127902933673,2577.371088950201,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,784657.5736758312,65217.73886739373,0.0,216255.09291979801,130781.12611550691,0.0,0.0,43226.74410772193,48977.716913489654,0.0,94395.03002814447,0.0,0.0,0.0,6223.647541070501,0.0,0.0,11.624941237829631,0.0,0.0,0.0,0.0,0.0,0.0,13144.043410907141,1330.8548050289228,0.0,551.8277962996643,0.0,867.9613460184563,0.0,9838.033914292935
9,0.0,0.0,0.0,0.0,751137.4210491187,46739.774766856186,0.0,181857.4998844716,108953.35034295607,0.0,0.0,46174.360658071666,47255.33786141601,0.0,0.0,203198.86361178118,0.0,28.66591996587128,7321.72917559435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8289.433439690216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
