comp_id,ds_seq_id,ds_sub_id
B1041.021a,1,1
B1041.021a,2,1
B1041.021a,3,1
B1041.021a,3,2
B1041.021b,1,1
B1041.021b,2,1
B1041.021b,3,1
B1041.021b,3,2
B1041.111a,1,1
B1041.111a,2,1
B1041.111a,3,1
B1041.111b,1,1
B1041.111b,2,1
B1041.111b,3,1
B1041.121b,1,1
B1041.121b,2,1
B1044.003,1,1
B1044.003,2,1
B1044.003,3,1
B1044.011,1,1
B1044.011,2,1
B1044.011,3,1
B2011.201a,1,1
B2011.201a,1,2
B2011.201b,1,1
C1011.001a,1,1
C1011.001a,2,1
C1011.001a,3,1
C2011.011b,1,1
C2011.011b,2,1
C2011.011b,3,1
C3011.001a,1,1
C3011.002a,1,1
C3011.002a,2,1
C3032.001a,1,1
C3032.001a,2,1
C3032.001a,3,1
C3032.001b,1,1
C3032.001b,2,1
C3032.001b,3,1
C3032.001c,1,1
C3032.001c,2,1
C3032.001c,3,1
C3032.001d,1,1
C3032.001d,2,1
C3032.001d,3,1
C3034.001,1,1
D1014.012,1,1
D1014.012,1,2
D1014.012,1,3
D1014.012,1,4
D2021.012a,1,1
D2021.012a,2,1
D2021.012b,1,1
D2021.012b,2,1
D2021.022a,1,1
D2021.022a,2,1
D2022.012a,1,1
D2022.012a,2,1
D2022.012b,1,1
D2022.012b,2,1
D2022.022a,1,1
D2022.022a,2,1
D2031.022a,1,1
D2031.022b,1,1
D2031.022b,2,1
D2051.022a,1,1
D2051.022a,2,1
D2051.022b,1,1
D3031.011b,1,1
D3031.021b,1,1
D3041.002c,1,1
D3041.011c,1,1
D3041.011c,2,1
D3041.012c,1,1
D3041.012c,2,1
D3041.032c,1,1
D3041.103c,1,1
D3041.103c,1,2
D3041.103c,1,3
D3052.013l,1,1
D3052.013l,1,2
D3052.013l,1,3
D3052.013l,1,4
D3067.011a,1,1
D4011.022a,1,1
D4011.022a,2,1
D4011.032a,1,1
D4011.032a,2,1
D5011.011a,1,1
D5012.013a,1,1
D5012.021d,1,1
D5012.031d,1,1
