story,dir,B1041.021a,B1041.021b,B1041.111a,B1041.111b,B1041.121b,B1044.003,B1044.011,B2011.201a,B2011.201b,C1011.001a,C2011.011b,C3011.001a,C3011.002a,C3032.001a,C3032.001b,C3032.001c,C3032.001d,C3034.001,D1014.031,D1014.032,D1014.033,D1014.034,D2021.012a,D2021.012b,D2021.022a,D2022.012a,D2022.012b,D2022.022a,D2031.022a,D2031.022b,D2051.022a,D2051.022b,D3031.011b,D3031.021b,D3041.002c,D3041.011c,D3041.012c,D3041.032c,D3041.103c,D3052.013l,D3067.011a,D4011.022a,D4011.032a,D5011.011a,D5012.013a,D5012.021d,D5012.031d
1,1,0,0,4,16,4,0,0,0,0,1,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,8,0,0,1,2,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.03,0,0,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2,1,8,16,0,0,0,0,0,8,8,6,0,4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,15,0,0,0,4,2,3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1.1,0.84,15,0,0,0,0,0.39,0.39,0.14,0.78,0.78,0.28,0.53,0.53,0,0,0,0,5,0.7,0.19,9,0,0,0,1.875,1,0,0,0,1
3,1,8,16,0,0,0,0,0,8,8,5,0,4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,15,0,0,0,4,2,3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1.1,0.84,15,0,0,0,0,0.39,0.39,0.14,0.78,0.78,0.28,0.53,0.53,0,0,0,0,5,0.7,0.19,9,0,0,0,1.875,1,0,0,0,1
4,1,8,16,0,0,0,0,0,8,8,7,0,6,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,15,0,0,0,6,2,5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1.1,0.84,15,0,0,0,0,0.39,0.39,0.14,0.78,0.78,0.28,0.53,0.53,0,0,0,0,5,0.7,0.19,9,0,0,0,1.875,1,0,0,0,1
5,1,8,16,0,0,0,0,0,8,8,5,0,4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,0,0,0,15,0,0,0,6,2,5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1.1,0.84,15,0,0,0,0,0.39,0.39,0.14,0.78,0.78,0.28,0.53,0.53,0,0,0,0,5,0.7,0.19,9,0,0,0,1.875,1,0,0,0,1
6,1,8,16,0,0,0,0,0,8,8,5,0,4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0,0,0,0,0,15,0,0,0,5,2,4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1.1,0.84,15,0,0,0,0,0.39,0.39,0.14,0.78,0.78,0.28,0.53,0.53,0.047,0.047,2,2,5,0.7,0.19,9,1,1,1,1.875,1,0,0,0,1
