comp_id,ds_seq_id,ds_sub_id
B1044.011,1,1
B1044.011,2,1
B1044.011,3,1
B1049.011,1,1
B1049.011,2,1
B2011.201a,1,1
B2011.201a,1,2
B2011.201b,1,1
B2022.002,1,1
B2022.002,2,1
C1011.001b,1,1
C1011.001b,2,1
C1011.001b,3,1
C3011.001b,1,1
C3027.002,1,1
C3032.003a,1,1
C3032.003a,2,1
C3032.003a,3,1
C3032.003b,1,1
C3032.003b,2,1
C3032.003b,3,1
C3032.003c,1,1
C3032.003c,2,1
C3032.003c,3,1
C3032.003d,1,1
C3032.003d,2,1
C3032.003d,3,1
C3034.002,1,1
D2021.013a,1,1
D2021.013a,2,1
D2021.013b,1,1
D2021.023a,1,1
D2021.023a,2,1
D2021.023b,1,1
D2021.023b,2,1
D2031.013b,1,1
D3032.013c,1,1
D3032.013c,1,2
D3032.013c,1,3
D3032.013c,1,4
D3041.011c,1,1
D3041.011c,2,1
D3041.032c,1,1
D4011.024a,1,1
D4011.024a,2,1
D4011.054a,1,1
D4011.054a,2,1
D5012.033c,1,1
D5012.033c,1,2
D5012.033c,1,3
