fragility_id,description,unit_qty,unit,name,name_short,group,author,is_official_p58,system_id,subsystem_id,service_location,structural_system,structural_system_alt,structural_series_id
B1029.101,"Flexible wood diaphragm, pre 1976,  plan aspect ratio 1:1, costing for 50 ft^2.",50,sf,"Flexible wood diaphragm, pre 1976,  plan aspect ratio 1:1.","Flexible wood diaphragm, <1976, AR 1:1.",structural,HBRG,False,1,21,NA,10,0,1
B1029.102,"Flexible wood diaphragm, pre 1976, plan aspect ratio 2:1, costing for 50 ft^2.",50,sf,"Flexible wood diaphragm, pre 1976, plan aspect ratio 2:1.","Flexible wood diaphragm, <1976, AR 1:2.",structural,HBRG,False,1,21,NA,10,0,1
B1029.103,"Flexible wood diaphragm, pre 1976, plan aspect ratio 1:2, costing for 50 ft^2.",50,sf,"Flexible wood diaphragm, pre 1976, plan aspect ratio 1:2.","Flexible wood diaphragm, <1976, AR 2:1.",structural,HBRG,False,1,21,NA,10,0,1
B1029.111,"Flexible wood diaphragm, 1976 through 1996, plan aspect ratio 1:1, costing for 50 ft^2.",50,sf,"Flexible wood diaphragm, 1976 through 1996, plan aspect ratio 1:1.","Flexible wood diaphragm, 1967-1996, AR 1:1.",structural,HBRG,False,1,21,NA,10,0,1
B1029.112,"Flexible wood diaphragm, 1976 through 1996, plan aspect ratio 2:1, costing for 50 ft^2.",50,sf,"Flexible wood diaphragm, 1976 through 1996, plan aspect ratio 2:1.","Flexible wood diaphragm, 1967-1996, AR 2:1.",structural,HBRG,False,1,21,NA,10,0,1
B1029.113,"Flexible wood diaphragm, 1976 through 1996, plan aspect ratio 1:2, costing for 50 ft^2.",50,sf,"Flexible wood diaphragm, 1976 through 1996, plan aspect ratio 1:2.","Flexible wood diaphragm, 1967-1996, AR 1:2.",structural,HBRG,False,1,21,NA,10,0,1
B1029.121,"Flexible wood diaphragm, post 1996, plan aspect ratio 1:1, costing for 50 ft^2.",50,sf,"Flexible wood diaphragm, post 1996, plan aspect ratio 1:1.","Flexible wood diaphragm, >1996, AR 1:1.",structural,HBRG,False,1,21,NA,10,0,1
B1029.122,"Flexible wood diaphragm, post 1996, plan aspect ratio 2:1, costing for 50 ft^2.",50,sf,"Flexible wood diaphragm, post 1996, plan aspect ratio 2:1.","Flexible wood diaphragm, >1996, AR 2:1.",structural,HBRG,False,1,21,NA,10,0,1
B1029.123,"Flexible wood diaphragm, post 1996, plan aspect ratio 1:2, costing for 50 ft^2.",50,sf,"Flexible wood diaphragm, post 1996, plan aspect ratio 1:2.","Flexible wood diaphragm, >1996,AR 1:2.",structural,HBRG,False,1,21,NA,10,0,1
B1029.201a,"Out-of-plane wall to diaphragm connection, replaced conforming to current code, bay spacing 25 ft., Wall Height 24' with a 3' parapet, costing per 50 LF",50,lf,"Out-of-plane wall to diaphragm connection,bay spacing 25 ft., wall 24 ft.","Out-of-plane connection, bay 25', wall 24' ",structural,HBRG,False,1,0,NA,10,0,2
B1029.201b,"Out-of-plane wall to diaphragm connection, replaced conforming to current code, bay spacing 25 ft., Wall Height 27' with a 3' parapet, costing per 50 LF",50,lf,"Out-of-plane wall to diaphragm connection,bay spacing 25 ft., wall 27 ft.","Out-of-plane connection, bay 25', wall 27' ",structural,HBRG,False,1,0,NA,10,0,2
B1029.201c,"Out-of-plane wall to diaphragm connection, replaced conforming to current code, bay spacing 25 ft., Wall Height 30' with a 3' parapet, costing per 50 LF",50,lf,"Out-of-plane wall to diaphragm connection,bay spacing 25 ft., wall 30 ft.","Out-of-plane connection, bay 25', wall 30' ",structural,HBRG,False,1,0,NA,10,0,2
B1029.202a,"Out-of-plane wall to diaphragm connection, replaced conforming to current code, bay spacing 35 ft., Wall Height 24' with a 3' parapet, costing per 50 LF",50,lf,"Out-of-plane wall to diaphragm connection,bay spacing 35 ft., wall 24 ft.","Out-of-plane connection, bay 35', wall 24' ",structural,HBRG,False,1,0,NA,10,0,2
B1029.202b,"Out-of-plane wall to diaphragm connection, replaced conforming to current code, bay spacing 35 ft., Wall Height 27' with a 3' parapet, costing per 50 LF",50,lf,"Out-of-plane wall to diaphragm connection,bay spacing 35 ft., wall 27 ft.","Out-of-plane connection, bay 35', wall 27' ",structural,HBRG,False,1,0,NA,10,0,2
