id,fragility_ids,fragility_name,ds,damage_description,structural_system_id,safety_class,series_id
1,B1029\.1\w+,Flexible wood diaphragm,1,Tearing of roofing materials and flashing at supports,[10],0,1
2,B1029\.1\w+,Flexible wood diaphragm,2,"Nails pull out, framing splitting and plywood tearing extends into the diaphragm",[10],1,1
3,B1029\.1\w+,Flexible wood diaphragm,3,plywood panels pull free of sub-framing and framing splits over approximately 25% of the diaphragm span at each diaphragm support,[10],2,1
4,B1029\.2\w+,Out-of-plane wall to diaphragm connection,1,Connections fail along the bay nearest the out-of-plane walls causing the diaphragm adjacent to the out-of-plane wall to collapse into the building.,[10],3,2
5,B1029\.2\w+,Out-of-plane wall to diaphragm connection,2,Connections fail along an entire wall line precipitating collapse of the wall outward and the first bay of diaphragm to collapse to the floor of the building.,[10],3,2
6,B1031\.00\w+,Bolted shear tab gravity connections,1,"Yielding of shear tab and elongation of bolt holes, no repair",[9],0,1
7,B1031\.00\w+,Bolted shear tab gravity connections,2,Yielding of shear tab and elongation of bolt holes,[9],0,1
8,B1031\.00\w+,Bolted shear tab gravity connections,3,Partial tearing of shear tab and possibility of bolt shear failure,[9],1,1
9,B1031\.00\w+,Bolted shear tab gravity connections,4,"Complete separation of shear tab, close to complete loss of vertical load resistance",[9],3,1
10,B1031\.01\w+,Steel Column Base Plates,1,"Initiation of crack at the fusion line between the column flange and the base plate weld, no repair",[5 6],0,2
11,B1031\.01\w+,Steel Column Base Plates,2,Initiation of crack at the fusion line between the column flange and the base plate weld,[5 6],0,2
12,B1031\.01\w+,Steel Column Base Plates,3,Propagation of brittle crack into column and/or base plate,[5 6],2,2
13,B1031\.01\w+,Steel Column Base Plates,4,Complete fracture of the column,[5 6],3,2
14,B1031\.02\w+,Welded column splices,1,"Ductile fracture of the groove weld flange splice, no repair",[5 6],0,3
15,B1031\.02\w+,Welded column splices,2,Ductile fracture of the groove weld flange splice,[5 6],0,3
16,B1031\.02\w+,Welded column splices,3,complete failure of the web splice plate and dislocation of the two column segments,[5 6],3,3
17,B1033\.0[012]\w+,Special Concentric Braced Frame - WF or HHS sections,1,Buckling of the brace has begun but does not exceed the depth of the brace.,[5],0,1
18,B1033\.0[012]\w+,Special Concentric Braced Frame - WF or HHS sections,2,Buckling of brace in excess of the brace depth.,[5],1,1
19,B1033\.0[012]\w+,Special Concentric Braced Frame - WF or HHS sections,3,Buckling of brace in excess of 2 times brace depth,[5],1,1
20,B1033\.0[012]\w+,Special Concentric Braced Frame - WF or HHS sections,4,Fracture of brace or gusset. Buckling of gusset,[5],2,1
